year,month,Zona,SBC
1998,1,Resto del país,341.1545026
1998,2,Resto del país,340.5269244
1998,3,Resto del país,339.9332571
1998,4,Resto del país,341.8800209
1998,5,Resto del país,343.5476967
1998,6,Resto del país,343.2269235
1998,7,Resto del país,345.4275207
1998,8,Resto del país,348.2894372
1998,9,Resto del país,347.6026916
1998,10,Resto del país,347.4539352
1998,11,Resto del país,347.2863714
1998,12,Resto del país,350.3761168
1999,1,Resto del país,339.4805417
1999,2,Resto del país,338.8408001
1999,3,Resto del país,341.7524454
1999,4,Resto del país,346.1798434
1999,5,Resto del país,343.8849128
1999,6,Resto del país,346.8943887
1999,7,Resto del país,348.3919979
1999,8,Resto del país,351.2903624
1999,9,Resto del país,351.8154913
1999,10,Resto del país,353.6828682
1999,11,Resto del país,354.6147232
1999,12,Resto del país,354.5895666
2000,1,Resto del país,354.7817003
2000,2,Resto del país,355.7235974
2000,3,Resto del país,359.0441601
2000,4,Resto del país,362.7075087
2000,5,Resto del país,364.9559039
2000,6,Resto del país,367.0649795
2000,7,Resto del país,368.0490606
2000,8,Resto del país,369.3296995
2000,9,Resto del país,370.8970003
2000,10,Resto del país,373.3341506
2000,11,Resto del país,373.1041297
2000,12,Resto del país,373.4155278
2001,1,Resto del país,375.1981485
2001,2,Resto del país,374.7915182
2001,3,Resto del país,380.1878225
2001,4,Resto del país,385.4360815
2001,5,Resto del país,381.0660115
2001,6,Resto del país,387.9337217
2001,7,Resto del país,387.5773876
2001,8,Resto del país,389.9183195
2001,9,Resto del país,390.659159
2001,10,Resto del país,391.9485537
2001,11,Resto del país,392.3708255
2001,12,Resto del país,395.3519331
2002,1,Resto del país,394.672788
2002,2,Resto del país,398.0924445
2002,3,Resto del país,395.7900293
2002,4,Resto del país,394.593624
2002,5,Resto del país,396.61615
2002,6,Resto del país,396.5028081
2002,7,Resto del país,397.8709852
2002,8,Resto del país,399.0928012
2002,9,Resto del país,399.2139152
2002,10,Resto del país,398.8159758
2002,11,Resto del país,398.7279428
2002,12,Resto del país,398.1226856
2003,1,Resto del país,398.4135607
2003,2,Resto del país,400.4451726
2003,3,Resto del país,400.9383199
2003,4,Resto del país,402.993147
2003,5,Resto del país,406.8128169
2003,6,Resto del país,408.9735499
2003,7,Resto del país,412.1158796
2003,8,Resto del país,413.4656727
2003,9,Resto del país,412.2791323
2003,10,Resto del país,412.7460231
2003,11,Resto del país,411.4782167
2003,12,Resto del país,411.635866
2004,1,Resto del país,410.3699546
2004,2,Resto del país,410.8361483
2004,3,Resto del país,409.5580465
2004,4,Resto del país,412.1098213
2004,5,Resto del país,416.1462294
2004,6,Resto del país,417.5156152
2004,7,Resto del país,418.4907381
2004,8,Resto del país,418.0787386
2004,9,Resto del país,416.4509496
2004,10,Resto del país,415.5502166
2004,11,Resto del país,413.3451576
2004,12,Resto del país,414.1634417
2005,1,Resto del país,415.7054235
2005,2,Resto del país,415.8008849
2005,3,Resto del país,417.9433393
2005,4,Resto del país,417.6996561
2005,5,Resto del país,420.540359
2005,6,Resto del país,423.1764746
2005,7,Resto del país,423.4303401
2005,8,Resto del país,424.5622449
2005,9,Resto del país,424.9714934
2005,10,Resto del país,425.6006288
2005,11,Resto del país,424.8450275
2005,12,Resto del país,424.5093661
2006,1,Resto del país,424.0890595
2006,2,Resto del país,425.0003105
2006,3,Resto del país,425.7774787
2006,4,Resto del país,427.1835833
2006,5,Resto del país,430.3873027
2006,6,Resto del país,431.4548924
2006,7,Resto del país,432.0457521
2006,8,Resto del país,431.8647491
2006,9,Resto del país,429.14074
2006,10,Resto del país,429.1495559
2006,11,Resto del país,429.2359412
2006,12,Resto del país,428.5643148
2007,1,Resto del país,428.4896959
2007,2,Resto del país,428.7543297
2007,3,Resto del país,429.5639063
2007,4,Resto del país,431.4692597
2007,5,Resto del país,434.7271463
2007,6,Resto del país,435.6122723
2007,7,Resto del país,435.1563696
2007,8,Resto del país,435.2507599
2007,9,Resto del país,433.8743834
2007,10,Resto del país,433.8547581
2007,11,Resto del país,433.5450885
