fecha,zona,smg_nom,inpc,SMG
2018-01-01,Resto del país,88.36,98.7949997,112.69
2018-02-01,Resto del país,88.36,99.17137448,112.26
2018-03-01,Resto del país,88.36,99.49215698,111.9
2018-04-01,Resto del país,88.36,99.15484705,112.28
2018-05-01,Resto del país,88.36,98.99408017,112.46
2018-06-01,Resto del país,88.36,99.37646493,112.03
2018-07-01,Resto del país,88.36,99.9090991,111.43
2018-08-01,Resto del país,88.36,100.492,110.79
2018-09-01,Resto del país,88.36,100.917,110.32
2018-10-01,Resto del país,88.36,101.44,109.75
2018-11-01,Resto del país,88.36,102.303,108.82
2018-12-01,Resto del país,88.36,103.02,108.07
2019-01-01,Resto del país,102.68,103.108,125.47
2019-02-01,Resto del país,102.68,103.079,125.51
2019-03-01,Resto del país,102.68,103.476,125.03
2019-04-01,Resto del país,102.68,103.531,124.96
2019-05-01,Resto del país,102.68,103.233,125.32
2019-06-01,Resto del país,102.68,103.299,125.24
2019-07-01,Resto del país,102.68,103.687,124.77
2019-08-01,Resto del país,102.68,103.67,124.79
2019-09-01,Resto del país,102.68,103.942,124.47
2019-10-01,Resto del país,102.68,104.503,123.8
2019-11-01,Resto del país,102.68,105.346,122.81
2019-12-01,Resto del país,102.68,105.934,122.13
2020-01-01,Resto del país,123.22,106.447,145.85
2020-02-01,Resto del país,123.22,106.889,145.25
2020-03-01,Resto del país,123.22,106.838,145.32
2020-04-01,Resto del país,123.22,105.755,146.8
2020-05-01,Resto del país,123.22,106.162,146.24
2020-06-01,Resto del país,123.22,106.743,145.45
2020-07-01,Resto del país,123.22,107.444,144.5
2020-08-01,Resto del país,123.22,107.867,143.93
2020-09-01,Resto del país,123.22,108.114,143.6
2020-10-01,Resto del país,123.22,108.774,142.73
2020-11-01,Resto del país,123.22,108.856,142.62
2020-12-01,Resto del país,123.22,109.271,142.08
2021-01-01,Resto del país,141.7,110.21,162
2021-02-01,Resto del país,141.7,110.907,160.98
2021-03-01,Resto del país,141.7,111.824,159.66
2021-04-01,Resto del país,141.7,112.19,159.14
2021-05-01,Resto del país,141.7,112.419,158.81
2021-06-01,Resto del país,141.7,113.018,157.97
2021-07-01,Resto del país,141.7,113.682,157.05
2021-08-01,Resto del país,141.7,113.899,156.75
2021-09-01,Resto del país,141.7,114.601,155.79
2021-10-01,Resto del país,141.7,115.561,154.5
2021-11-01,Resto del país,141.7,116.884,152.75
2021-12-01,Resto del país,141.7,117.308,152.2
2022-01-01,Resto del país,172.87,118.002,184.58
2022-02-01,Resto del país,172.87,118.981,183.06
2022-03-01,Resto del país,172.87,120.159,181.27
2022-04-01,Resto del país,172.87,120.809,180.29
2022-05-01,Resto del país,172.87,121.022,179.98
2022-06-01,Resto del país,172.87,122.044,178.47
2022-07-01,Resto del país,172.87,122.948,177.16
2022-08-01,Resto del país,172.87,123.803,175.93
2022-09-01,Resto del país,172.87,124.571,174.85
2022-10-01,Resto del país,172.87,125.276,173.86
2022-11-01,Resto del país,172.87,125.997,172.87
2018-12-01,ZLFN,88.36,103.02,108.07
2019-01-01,ZLFN,176.72,103.108,215.95
2019-02-01,ZLFN,176.72,103.079,216.01
2019-03-01,ZLFN,176.72,103.476,215.18
2019-04-01,ZLFN,176.72,103.531,215.07
2019-05-01,ZLFN,176.72,103.233,215.69
2019-06-01,ZLFN,176.72,103.299,215.55
2019-07-01,ZLFN,176.72,103.687,214.74
2019-08-01,ZLFN,176.72,103.67,214.78
2019-09-01,ZLFN,176.72,103.942,214.22
2019-10-01,ZLFN,176.72,104.503,213.07
2019-11-01,ZLFN,176.72,105.346,211.36
2019-12-01,ZLFN,176.72,105.934,210.19
2020-01-01,ZLFN,185.56,106.447,219.64
2020-02-01,ZLFN,185.56,106.889,218.73
2020-03-01,ZLFN,185.56,106.838,218.84
2020-04-01,ZLFN,185.56,105.755,221.08
2020-05-01,ZLFN,185.56,106.162,220.23
2020-06-01,ZLFN,185.56,106.743,219.03
2020-07-01,ZLFN,185.56,107.444,217.6
2020-08-01,ZLFN,185.56,107.867,216.75
2020-09-01,ZLFN,185.56,108.114,216.25
2020-10-01,ZLFN,185.56,108.774,214.94
2020-11-01,ZLFN,185.56,108.856,214.78
2020-12-01,ZLFN,185.56,109.271,213.96
2021-01-01,ZLFN,213.39,110.21,243.96
2021-02-01,ZLFN,213.39,110.907,242.42
2021-03-01,ZLFN,213.39,111.824,240.44
2021-04-01,ZLFN,213.39,112.19,239.65
2021-05-01,ZLFN,213.39,112.419,239.16
2021-06-01,ZLFN,213.39,113.018,237.9
2021-07-01,ZLFN,213.39,113.682,236.51
2021-08-01,ZLFN,213.39,113.899,236.06
2021-09-01,ZLFN,213.39,114.601,234.61
2021-10-01,ZLFN,213.39,115.561,232.66
2021-11-01,ZLFN,213.39,116.884,230.03
2021-12-01,ZLFN,213.39,117.308,229.2
2022-01-01,ZLFN,260.34,118.002,277.98
2022-02-01,ZLFN,260.34,118.981,275.69
2022-03-01,ZLFN,260.34,120.159,272.99
2022-04-01,ZLFN,260.34,120.809,271.52
2022-05-01,ZLFN,260.34,121.022,271.04
2022-06-01,ZLFN,260.34,122.044,268.77
2022-07-01,ZLFN,260.34,122.948,266.8
2022-08-01,ZLFN,260.34,123.803,264.95
2022-09-01,ZLFN,260.34,124.571,263.32
2022-10-01,ZLFN,260.34,125.276,261.84
2022-11-01,ZLFN,260.34,125.997,260.34
